Date reviewed,Name,Website,Summary / Intro link,Description,Type (best estimate),Blockchain- based?,Technology used (one level up),Notes
2015-12-17,21 inc,https://21.co/,,Building a Bitcoin computer - natively running Bitcoin protocol,Hardware,Y,Bitcoin,
2015-12-17,Airlock,http://airlock.me/,,"Decentralised electronic security - keyless access protocol for smart property combining IoT with ""Internet of Money"" (bitcoin 2.0)",application,Y,Ethereum,"Won 3rd Place at the Toronto Bitcoin Expo's ""In Crypto We Trust"" Hackathon"
2015-12-16,ALEXANDRIA,http://blocktech.com/,,"An open-source standard to allow users to distribute digital content, uses Bitcoin (for payment) and Florincoin (for index) blockchains and IPFS (for content storage and distribution)",application,Y,Multiple,Combination of decentralised technologies
2015-12-16,Altcoins,http://altcoins.com/,,"Various alternative currencies with bitcoin-like properties. Altcoins tend to either replicate the BitCoin hashing algorithm, implement Scrypt algorithm or have their own algorithms",Group of technologies,Y,Mixed,Unclear if altcoins fall into the technology side or the application side.
2015-12-16,Augur,http://www.augur.net/,,Decentralised prediction markets,application,Y,Ethereum,
2015-12-21,Backfeed,http://backfeed.cc/,,"""If the blockchain can be regarded as the TCP/IP (communication layer of the internet), Backfeed is building a canonical protocol and platform (akin to the HTTP protocol and the web browser) to enable blockchain-based decentralized collaboration, as easily as one would deploy a website today""",Technology/platform,Y,Blockchain,
2015-12-21,Balanc3,http://balanc3.net/,,"""Smart contract powered triple entry accounting system""",application,Y,Ethereum,
2015-12-15,Bitcoin,https://bitcoin.org/en/,https://bitcoin.org/en/bitcoin-for-individuals,Digital currency. Uses crytopgraphy and peer-to-peer tech to facilitate currency exchange without a central ledger (i.e. a bank),Technology/platform,Y,Blockchain,
2015-12-21,BitCongress,http://www.bitcongress.org/,,"Decentralised voting platform - based on Bitcoin, Axiomity (http://www.bitcongress.org/proj-noajax.html) and Counterparty",application,Y,Counterparty,
2015-12-16,Bitmessage,https://bitmessage.org/wiki/Main_Page,,"Open source decentralised, peer-to-peer messaging service",application,?,Unclear,
